Bath and North East Somerset,Bedford,Blackburn with Darwen,Blackpool,Brighton and Hove,Bristol City,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall,County Durham,Cumbria,Darlington,Derby,Derbyshire,Devon,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Borough of Halton,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Luton,Medway,Middlesbrough,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redcar and Cleveland,Shropshire,Somerset,South Gloucestershire,Southampton,Southend-on-Sea,Staffordshire,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swindon,Thurrock,Warrington,Warwickshire,West Sussex,Wiltshire,Worcestershire,York,GREATER LONDON,GREATER manchester,South Yorkshire,West Midlands,Tyne and Wear,West Yorkshire,Merseyside
-10,-4,-7,-4,-7,-10,-8,-8,-7,-5,-6,-7,-3,-7,-7,-5,-5,-9,-6,-8,-3,-7,-8,-3,-7,-1,-8,-5,-2,-5,-3,-7,-6,-6,-5,-5,0,-6,-7,-3,-3,-6,-7,-7,-4,1,-5,-7,-5,-6,-10,-7,-10,-5,-6,4,-9,8,-6,-6,-6,-2,-5,-7,-4,-5,-6,-7,-8,-7,-10,-8,-7,-5,-7,-5,-6,-6
-3,-6,-3,0,-14,-5,-12,-9,-7,-4,-3,1,-2,2,-4,-7,-5,-6,-7,-6,-12,-12,-4,-5,-9,-3,-9,-9,-1,-13,-5,-3,-5,-7,-7,-7,-8,-2,-4,-7,-4,-6,-6,0,-3,0,-4,-5,-5,-7,-6,-12,-4,-6,-2,6,-6,2,-5,-3,-3,-8,-9,-4,-9,-4,-5,-13,-7,-6,-2,-11,-4,-3,-7,-4,-6,-3
2,2,0,1,0,-1,-1,0,0,-2,0,9,-1,6,-5,-2,0,7,7,-1,0,-1,3,-2,2,4,2,2,12,0,0,-1,1,0,0,0,6,-4,1,3,-2,-4,2,4,1,2,1,0,4,-1,5,2,-2,2,5,11,-1,14,2,-2,-1,2,2,-2,5,0,1,3,1,2,4,4,-2,-1,-1,-2,-2,-1
1,-3,-1,-2,-3,0,-4,-3,0,-1,-1,8,1,6,-5,-3,-1,6,4,-1,-1,-4,1,1,-1,-1,2,-1,5,-2,-1,-1,-4,-1,-1,-2,2,-7,-1,2,-2,-3,3,3,0,2,-4,-3,1,-4,-3,2,-1,2,4,11,-2,12,-1,-3,0,1,0,-3,-2,-3,-3,-2,-1,-1,3,-2,-2,-2,-3,-4,-3,-1
0,1,-3,-7,-2,-3,-4,-4,-3,-4,0,7,-1,-1,-5,-4,-3,5,3,-2,1,-3,0,-5,-1,4,1,-3,6,-2,-3,-4,-5,-3,-2,-6,1,-2,-3,1,0,-7,-1,3,-1,-2,-2,-3,0,-5,-1,1,-2,2,2,9,-3,11,-2,-2,-5,0,-1,-3,0,-3,-3,-1,-1,1,1,-3,-5,-2,-4,-4,-3,-4
2,0,-2,0,-2,-1,-5,-5,-3,-3,-2,8,-2,2,0,-3,-3,5,3,-1,0,-4,1,0,-1,1,-1,-3,4,-4,-1,-2,-3,-2,0,-7,0,-2,-1,0,-2,-6,2,1,0,2,-2,-3,0,-6,1,-2,-2,3,4,4,-6,9,-1,0,-4,0,-2,-3,-1,-4,-1,-3,-2,0,2,-4,-3,-3,-2,-5,-3,-2
-1,2,-6,-1,-1,-1,-4,-2,0,-2,-3,4,-1,-2,-4,-1,-1,5,3,-1,1,-2,-2,-1,1,1,-2,0,5,-1,0,-4,-3,2,-1,-5,7,0,-4,3,-1,-5,0,1,0,0,1,1,3,-4,1,1,-4,0,3,-1,-6,13,1,1,0,2,-1,1,4,-3,1,0,1,-1,3,-1,-6,0,-1,-1,-5,-2
-1,0,0,0,-1,-5,-5,-5,-3,-1,-2,2,-2,-1,-4,-1,-1,3,1,-2,-2,-3,-1,0,-2,2,-1,0,3,-3,0,-2,-3,-1,-1,-1,5,-2,-6,0,0,-1,-3,-1,0,0,-2,-1,1,-3,-1,-2,-4,-3,1,-3,-4,12,0,-1,-2,0,-2,-1,1,-2,3,-3,1,-1,-2,-3,-4,-1,-2,-2,-3,-1
1,2,1,1,-3,-1,-4,-5,-3,1,-3,0,0,0,-6,0,-2,0,0,0,-2,-5,-3,-1,-2,1,-3,-2,3,-5,1,-2,-4,0,-3,-3,3,1,-6,-3,0,-1,-2,-1,1,0,-1,0,0,-3,-3,-5,-3,-2,0,-2,-4,12,0,-2,-1,-2,-2,-1,0,-6,-2,-4,0,-2,1,-3,-4,0,-3,-3,-2,-3
0,1,-1,-2,-4,-3,-2,-2,-1,-1,0,1,-5,-3,-5,-1,-1,2,1,-4,-1,-2,-1,-2,-1,0,2,0,-1,-2,-3,-1,-4,0,-1,-1,6,-1,-2,-2,1,-3,-2,-4,0,-2,-1,-1,2,-3,0,-2,-3,-1,1,-1,-6,9,2,-2,0,-1,1,0,2,0,0,-1,0,0,0,0,-3,0,-1,-5,-4,-1
2,4,8,3,5,4,4,4,6,4,8,6,11,8,7,8,8,7,6,5,5,3,4,9,4,9,7,7,6,4,3,6,0,6,5,3,11,8,0,6,5,3,5,8,5,8,7,6,6,7,3,6,6,4,5,5,-1,12,8,9,7,4,7,6,5,2,4,3,5,5,7,2,2,5,2,4,3,6
0,-1,0,-2,1,-2,-1,-2,0,0,0,-1,1,-1,-2,0,-1,3,1,-2,2,-2,0,0,-1,2,2,1,1,-1,-1,-1,-3,0,-2,-2,6,-3,-1,1,0,-1,-1,2,1,2,0,0,1,-1,0,0,0,-1,1,-1,-6,8,0,0,-4,-1,1,1,1,-2,0,-1,-1,1,-3,0,-4,-1,0,-1,-1,0
3,2,2,-1,2,4,-1,-2,1,3,1,3,2,3,1,2,2,5,3,3,2,-2,1,3,2,3,3,0,4,-1,5,1,0,2,1,1,7,1,-4,0,-1,1,3,3,2,4,3,2,1,0,3,1,1,2,2,8,-6,11,3,5,1,0,1,1,3,-1,4,2,3,2,1,-1,-1,1,1,1,1,2
0,3,3,1,-5,1,-1,-3,2,1,2,2,-2,2,1,2,0,4,2,0,-1,-1,0,4,2,6,1,2,2,0,2,2,-5,2,-1,1,9,3,-2,-1,1,-2,1,2,1,4,2,0,3,-3,1,0,1,4,6,12,-4,14,3,8,3,0,3,-1,5,1,3,0,3,1,2,-1,-3,2,0,2,0,2
3,2,0,1,0,1,1,-2,0,2,2,3,-4,1,5,3,2,4,3,1,2,-1,3,2,2,4,4,5,6,-1,5,0,2,4,2,7,7,4,-1,3,2,1,2,2,3,3,3,3,4,1,2,2,2,0,5,14,-2,11,1,4,0,3,1,1,6,1,8,1,3,3,-2,0,-1,3,2,2,0,1
6,4,8,4,2,4,2,-1,1,6,2,2,-5,2,2,5,3,2,5,5,3,0,3,6,3,2,4,4,5,1,6,2,3,4,2,2,11,-3,0,1,2,-2,2,2,4,3,5,3,4,4,2,2,-1,2,6,13,1,18,4,3,5,3,4,1,5,7,2,3,4,4,0,4,-1,5,1,-1,1,3
3,5,3,2,4,3,5,2,4,3,4,5,-2,4,1,4,3,7,6,3,6,2,5,5,5,5,4,5,9,3,4,3,4,3,3,5,11,4,2,3,2,-1,6,4,3,5,5,3,6,1,7,4,3,4,4,15,-1,14,5,4,3,3,6,3,7,1,5,5,6,4,5,6,0,3,3,2,2,3
3,4,0,3,3,4,4,0,5,3,4,5,1,5,2,4,4,5,4,3,3,-1,1,3,4,8,3,5,3,2,3,4,1,4,1,4,8,0,-1,2,3,-2,7,5,3,3,4,3,5,2,3,2,3,4,4,3,-3,15,4,6,3,1,5,4,2,2,4,3,3,4,2,2,1,2,2,1,2,3
0,4,6,4,-1,0,5,1,6,6,7,4,4,6,1,5,4,5,3,5,3,0,2,4,3,6,4,5,3,3,4,5,2,5,4,5,7,3,0,4,5,3,4,6,4,6,5,5,4,2,3,1,6,3,4,2,-2,19,5,6,5,3,5,2,5,3,5,1,1,3,4,1,3,5,3,4,4,5
7,4,1,2,-5,4,3,1,3,7,6,7,2,7,2,2,4,7,3,7,-3,-5,5,3,2,7,5,1,2,-3,6,5,1,4,4,-2,1,3,1,4,3,1,4,6,4,9,4,5,4,3,5,-4,6,4,6,-3,-4,7,6,10,6,2,0,5,4,2,6,-2,3,5,3,-5,3,2,5,3,4,6
5,6,5,5,6,4,6,3,6,7,4,4,3,6,2,6,5,7,8,6,7,3,4,3,7,7,3,8,6,6,5,5,5,5,6,6,16,7,2,6,4,2,5,9,5,7,8,6,8,-2,2,3,4,6,9,-1,4,22,7,9,5,4,9,6,12,7,7,7,5,3,5,8,2,5,6,4,4,6
4,2,1,4,1,0,2,-1,4,4,4,1,0,4,1,2,3,6,6,6,3,-2,2,-1,3,2,1,4,7,1,2,1,6,4,5,3,8,2,-3,4,3,2,2,8,3,7,4,2,4,-3,1,2,-1,2,4,-5,2,13,3,1,4,1,4,2,8,1,5,3,3,1,0,3,0,2,1,1,1,2
3,6,7,6,3,3,2,2,4,4,4,4,1,4,5,4,4,2,4,10,4,-2,2,3,2,2,6,3,7,1,6,3,11,5,5,5,7,3,-2,3,1,1,5,8,6,6,6,4,4,-2,-1,3,2,5,7,-9,2,21,6,4,4,3,3,2,11,7,8,3,3,3,3,3,2,3,3,2,3,4
5,3,0,0,1,0,4,2,5,2,4,4,4,2,2,0,3,6,9,5,5,1,6,2,5,6,5,5,8,5,1,1,5,3,4,4,13,0,2,5,1,0,4,4,3,7,3,3,5,-3,3,5,4,4,6,-5,1,15,4,5,2,2,7,4,9,3,5,6,5,5,3,6,-1,3,3,2,2,2
2,5,2,4,3,3,6,6,8,6,6,3,5,7,4,6,5,7,7,6,4,2,4,7,7,7,6,7,6,4,7,4,10,7,6,8,11,5,4,6,3,3,7,7,6,7,4,6,7,1,-1,6,5,6,7,-4,2,17,7,8,7,4,7,4,9,5,7,5,5,7,5,7,3,3,6,3,1,7
6,6,6,1,6,3,5,4,9,7,6,2,1,1,3,4,4,4,6,4,5,2,5,2,5,8,4,6,3,5,5,3,6,7,4,9,11,1,3,6,3,2,5,4,6,5,6,4,7,2,1,6,4,5,6,-4,4,17,6,6,4,4,7,5,13,5,7,5,3,6,2,8,2,4,5,0,2,5
11,13,10,7,10,11,13,10,12,12,11,8,7,5,6,14,10,10,13,11,11,8,11,11,12,11,8,13,11,12,11,9,15,13,11,13,17,-1,9,8,9,6,9,8,12,11,15,11,13,4,6,9,12,8,11,-5,7,23,12,14,12,11,11,11,22,13,14,12,7,13,3,14,8,8,14,9,8,12
11,16,13,10,11,10,13,9,16,11,12,4,8,7,7,14,10,8,9,11,10,9,7,12,11,12,7,14,8,11,11,12,18,14,12,13,20,2,8,9,8,7,9,10,11,13,17,10,13,5,4,9,9,7,11,2,9,24,13,15,14,9,13,9,25,14,13,11,7,10,3,15,9,10,14,11,9,13
13,9,12,6,7,6,9,4,13,11,12,6,7,4,7,12,8,8,8,12,8,6,6,-6,7,11,6,11,12,8,8,7,15,11,11,18,15,2,1,8,10,7,7,11,9,13,15,8,9,5,4,8,7,3,9,0,7,19,10,11,9,7,8,10,14,9,13,7,7,7,2,9,8,7,11,10,7,10
8,5,15,10,5,5,5,2,8,12,11,10,11,10,10,10,10,9,9,18,10,6,5,-4,7,8,6,6,13,8,11,10,8,9,11,13,11,3,-2,8,11,9,8,16,7,20,15,9,6,2,2,8,15,6,10,-4,4,20,11,11,11,7,9,7,8,12,3,9,7,6,5,6,8,10,7,9,9,11
21,25,25,17,15,17,25,19,26,24,25,18,19,15,20,23,23,21,22,27,24,21,20,4,22,23,14,24,22,22,21,19,24,25,24,27,32,10,18,20,21,19,22,22,20,29,24,20,23,19,16,20,22,16,21,14,13,33,25,23,21,21,25,23,30,25,23,24,20,21,18,23,18,20,21,22,20,21
24,25,26,21,18,22,27,23,32,28,27,24,22,19,26,29,30,26,25,30,26,23,23,11,28,26,22,27,20,26,25,24,22,29,25,29,31,14,22,22,25,24,25,27,23,30,27,26,25,20,18,24,23,20,26,23,23,37,29,30,27,24,30,31,27,30,26,28,25,24,20,19,21,23,22,26,23,23
16,31,29,17,18,15,31,22,35,27,26,17,24,16,22,27,27,19,23,27,29,29,17,7,27,26,13,31,21,28,25,23,27,29,23,33,39,16,25,19,24,24,19,21,23,28,28,25,22,19,15,27,24,16,21,15,24,47,27,29,24,22,33,33,40,29,23,28,21,22,16,28,21,23,25,26,24,25
21,32,32,21,18,18,33,23,36,27,30,17,25,19,21,31,29,19,24,31,27,29,18,13,28,27,16,30,24,28,30,24,38,34,27,40,42,19,29,21,25,29,18,24,29,32,35,29,24,23,18,26,30,20,20,9,23,44,33,33,33,24,33,36,40,30,29,30,22,24,17,30,25,23,32,28,26,28
5,15,14,9,2,4,13,12,21,11,11,3,16,8,11,14,15,7,10,18,11,13,7,11,13,13,5,14,9,12,14,12,15,17,13,16,24,11,10,8,13,16,5,14,12,19,17,13,12,5,1,12,15,8,8,12,8,30,17,19,17,11,17,15,18,16,17,13,9,8,5,8,9,11,13,14,10,13
-1,2,4,6,-2,-9,3,-1,9,10,5,-1,14,8,6,3,13,2,5,16,7,3,2,5,7,10,3,2,10,5,7,8,-1,7,9,9,16,5,-5,2,8,13,0,11,4,18,3,7,0,1,-4,5,17,1,3,2,-1,17,9,9,8,4,7,4,0,8,9,6,5,4,-9,-8,1,5,2,6,3,7
-17,-14,-7,-8,-17,-20,-11,-15,-7,-10,-13,-15,-6,-11,-12,-12,-5,-14,-10,-2,-9,-12,-13,-11,-11,-12,-15,-13,-6,-13,-11,-9,-14,-11,-7,-6,-3,-17,-19,-14,-9,-1,-15,-4,-9,0,-12,-11,-12,-15,-19,-16,-4,-15,-10,-16,-11,3,-7,-10,-9,-12,-9,-12,-16,-9,-12,-10,-13,-13,-19,-20,-13,-9,-13,-15,-11,-10
-13,-6,-4,-7,-15,-17,-6,-7,-1,-5,-6,-10,-4,-9,-10,-6,-2,-9,-5,-1,-2,-5,-9,-8,-4,-2,-11,-7,-4,-5,-8,-5,-7,-3,-2,-4,3,-11,-10,-9,-4,0,-10,-5,-5,1,-9,-6,-6,-10,-12,-9,-3,-9,-6,-7,-7,7,-2,-3,-6,-8,-2,-4,-3,-2,-3,-3,-5,-6,-14,-13,-9,-6,-6,-8,-8,-7
-33,-21,-19,-23,-28,-27,-22,-22,-17,-24,-25,-30,-24,-29,-23,-19,-19,-28,-25,-21,-21,-23,-25,-21,-22,-25,-25,-23,-27,-22,-22,-22,-21,-20,-21,-13,-13,-30,-26,-27,-24,-21,-27,-24,-19,-21,-22,-22,-22,-24,-30,-24,-22,-26,-24,-21,-23,-9,-20,-21,-22,-25,-21,-21,-19,-19,-20,-22,-22,-25,-32,-25,-24,-21,-22,-25,-24,-21
-31,-23,-22,-26,-31,-30,-25,-25,-20,-26,-27,-35,-24,-33,-28,-20,-21,-30,-28,-24,-23,-25,-28,-30,-25,-23,-28,-25,-31,-23,-24,-24,-26,-21,-25,-20,-18,-29,-26,-29,-23,-24,-29,-28,-21,-22,-29,-24,-26,-28,-33,-25,-26,-30,-28,-25,-25,-11,-22,-22,-26,-27,-23,-23,-25,-20,-22,-23,-25,-25,-34,-28,-27,-23,-26,-24,-25,-24
-32,-24,-24,-25,-31,-32,-26,-28,-24,-29,-28,-37,-26,-34,-31,-26,-24,-33,-29,-24,-27,-27,-28,-29,-27,-28,-32,-28,-31,-28,-27,-26,-28,-25,-27,-22,-21,-32,-27,-31,-27,-24,-31,-30,-23,-24,-27,-26,-26,-31,-34,-26,-27,-30,-30,-31,-28,-15,-24,-26,-27,-29,-25,-24,-31,-22,-22,-24,-27,-27,-36,-32,-28,-25,-26,-27,-26,-25
-35,-25,-28,-28,-35,-34,-28,-29,-23,-31,-32,-39,-24,-35,-32,-26,-26,-34,-31,-26,-27,-28,-32,-27,-28,-30,-34,-30,-33,-29,-27,-27,-30,-27,-27,-22,-19,-31,-31,-32,-28,-28,-34,-32,-24,-25,-25,-26,-28,-31,-37,-28,-29,-32,-31,-29,-26,-15,-26,-26,-26,-31,-27,-26,-31,-19,-25,-27,-29,-29,-34,-32,-29,-26,-28,-28,-28,-26
-44,-40,-37,-40,-42,-44,-38,-42,-37,-40,-40,-46,-36,-45,-44,-38,-37,-43,-41,-39,-37,-41,-41,-39,-38,-38,-43,-40,-40,-40,-38,-37,-41,-38,-38,-30,-32,-39,-43,-43,-38,-35,-45,-43,-36,-34,-37,-39,-40,-41,-43,-38,-37,-44,-41,-39,-36,-30,-38,-38,-39,-41,-37,-39,-44,-33,-35,-38,-38,-42,-47,-41,-39,-37,-39,-38,-38,-35
-48,-47,-42,-43,-48,-47,-45,-48,-45,-47,-47,-53,-42,-50,-47,-46,-43,-51,-47,-45,-46,-49,-48,-43,-45,-44,-50,-47,-47,-49,-45,-44,-47,-45,-45,-39,-40,-43,-49,-52,-46,-41,-50,-48,-42,-42,-45,-45,-45,-45,-50,-43,-44,-49,-48,-45,-41,-39,-44,-47,-44,-51,-44,-44,-53,-42,-44,-46,-45,-47,-50,-48,-46,-43,-45,-47,-44,-42
-40,-30,-31,-30,-37,-39,-32,-33,-28,-34,-34,-38,-28,-37,-31,-32,-29,-35,-33,-28,-27,-32,-35,-32,-31,-31,-33,-34,-33,-30,-31,-31,-34,-30,-30,-26,-24,-36,-35,-35,-29,-29,-37,-35,-30,-26,-35,-33,-33,-37,-37,-31,-29,-35,-33,-32,-30,-20,-30,-30,-33,-35,-31,-29,-36,-26,-31,-28,-32,-33,-40,-36,-34,-30,-33,-30,-31,-29
-37,-29,-28,-28,-36,-33,-29,-29,-24,-31,-31,-36,-28,-35,-31,-28,-25,-33,-31,-27,-27,-30,-32,-26,-28,-30,-34,-30,-33,-30,-28,-27,-34,-26,-28,-22,-24,-37,-29,-32,-28,-28,-32,-31,-24,-27,-34,-28,-30,-31,-34,-28,-28,-33,-30,-27,-25,-17,-26,-28,-28,-32,-29,-25,-32,-24,-26,-28,-28,-29,-36,-35,-31,-28,-29,-30,-31,-26
-39,-31,-32,-30,-37,-38,-32,-33,-27,-34,-32,-39,-28,-37,-34,-30,-27,-35,-33,-29,-29,-33,-36,-37,-30,-27,-35,-33,-35,-32,-32,-30,-35,-29,-30,-26,-25,-35,-34,-35,-30,-29,-37,-34,-28,-27,-37,-31,-33,-35,-37,-28,-30,-35,-34,-32,-29,-19,-30,-29,-33,-33,-32,-29,-34,-29,-29,-30,-33,-32,-38,-36,-33,-29,-32,-29,-31,-29
-37,-29,-31,-30,-37,-37,-31,-32,-27,-33,-32,-37,-30,-37,-35,-29,-27,-35,-31,-28,-29,-32,-34,-32,-29,-30,-34,-32,-33,-31,-30,-30,-32,-28,-30,-26,-24,-36,-33,-33,-30,-27,-35,-34,-27,-27,-35,-30,-32,-36,-35,-31,-31,-33,-32,-33,-30,-20,-28,-32,-30,-33,-31,-27,-35,-28,-27,-29,-30,-30,-35,-36,-33,-29,-30,-31,-31,-29
-37,-28,-29,-27,-36,-33,-30,-30,-25,-32,-33,-38,-28,-36,-33,-30,-27,-34,-31,-28,-28,-31,-33,-30,-29,-30,-36,-32,-32,-31,-28,-28,-32,-28,-29,-27,-23,-34,-33,-33,-29,-30,-34,-33,-26,-25,-34,-29,-31,-33,-35,-27,-29,-32,-32,-25,-26,-19,-27,-28,-28,-32,-31,-26,-33,-24,-25,-30,-30,-30,-37,-34,-30,-27,-29,-29,-30,-25
-44,-38,-37,-38,-39,-41,-35,-38,-35,-38,-39,-42,-33,-43,-39,-34,-33,-41,-38,-36,-35,-38,-40,-39,-35,-36,-41,-38,-40,-38,-33,-36,-39,-36,-35,-26,-29,-35,-40,-40,-36,-29,-43,-41,-33,-32,-39,-37,-38,-36,-39,-36,-36,-42,-38,-33,-31,-31,-36,-35,-36,-40,-36,-33,-41,-31,-32,-36,-36,-39,-45,-38,-36,-34,-36,-34,-35,-33
-47,-42,-37,-38,-41,-43,-39,-41,-38,-43,-44,-49,-38,-47,-41,-41,-40,-46,-44,-40,-40,-43,-45,-39,-41,-40,-44,-41,-44,-43,-36,-41,-40,-41,-40,-30,-33,-36,-43,-46,-42,-37,-47,-45,-37,-36,-43,-40,-43,-38,-45,-40,-39,-45,-44,-38,-37,-31,-40,-43,-42,-46,-40,-40,-43,-37,-40,-41,-42,-44,-47,-41,-41,-38,-41,-41,-39,-39
