Bath and North East Somerset,Bedford,Blackburn with Darwen,Blackpool,Brighton and Hove,Bristol City,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall,County Durham,Cumbria,Darlington,Derby,Derbyshire,Devon,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Borough of Halton,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Luton,Medway,Middlesbrough,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redcar and Cleveland,Shropshire,Somerset,South Gloucestershire,Southampton,Southend-on-Sea,Staffordshire,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swindon,Thurrock,Warrington,Warwickshire,West Sussex,Wiltshire,Worcestershire,York,GREATER LONDON,GREATER manchester,South Yorkshire,West Midlands,Tyne and Wear,West Yorkshire,Merseyside
-22,-14,-14,-12,-21,-21,-12,-18,-11,-18,-11,-15,-11,-15,-12,-14,-12,-11,-9,-12,-12,-10,-16,-16,-13,-5,-13,-15,-8,-10,-12,-17,-18,-13,-10,-5,-9,-11,-15,-13,-8,-10,-15,-17,-12,-8,-21,-12,-16,-11,-14,-14,-13,-13,-12,-14,-10,-6,-12,-9,-14,-14,-15,-16,-11,-15,-11,-10,-14,-14,-21,-15,-19,-14,-13,-13,-15,-15
-18,-16,-7,-4,-25,-16,-12,-14,-9,-11,-9,-14,-8,-7,-4,-7,-6,-11,-12,-4,-15,-11,-13,-4,-14,-4,-11,-13,-13,-14,-6,-6,-18,-10,-4,-1,-11,-7,-13,-9,-5,-4,-12,-6,-9,-5,-16,-8,-14,-5,-17,-17,-3,-10,-10,-10,-12,-5,-9,-2,-8,-11,-16,-11,-10,-10,-7,-14,-13,-11,-13,-18,-11,-9,-10,-10,-10,-7
-21,-14,-11,-8,-16,-19,-13,-17,-10,-15,-11,-15,-11,-10,-12,-11,-9,-11,-11,-8,-7,-10,-14,-13,-11,-5,-12,-14,-10,-11,-7,-9,-26,-12,-8,-4,-7,-10,-15,-14,-6,-5,-14,-12,-12,-8,-18,-9,-15,-7,-15,-10,-8,-12,-12,-10,-7,-4,-10,-9,-12,-13,-16,-15,-11,-13,-10,-10,-14,-13,-17,-17,-14,-9,-13,-14,-11,-10
-21,-12,-11,-3,-17,-18,-11,-15,-11,-13,-9,-12,-6,-7,-9,-7,-7,-9,-8,-8,-7,-11,-13,-8,-10,-5,-9,-15,-7,-12,-10,-8,-24,-10,-5,-3,-8,-7,-15,-9,-7,-7,-11,-9,-9,-2,-16,-8,-14,-7,-12,-12,-6,-9,-9,-12,-7,-5,-9,-4,-10,-9,-14,-16,-6,-12,-7,-10,-11,-11,-17,-17,-11,-11,-9,-9,-10,-8
-21,-12,-14,-11,-17,-18,-12,-16,-9,-14,-13,-13,-8,-13,-8,-9,-8,-10,-10,-8,-10,-8,-15,-6,-10,-5,-10,-12,-7,-11,-8,-13,-24,-13,-6,-2,-5,-7,-16,-10,-7,-7,-15,-10,-12,-4,-16,-9,-15,-10,-16,-12,-9,-9,-12,-12,-6,-2,-10,-5,-10,-8,-14,-16,-8,-11,-8,-10,-13,-15,-16,-13,-14,-8,-11,-8,-10,-10
-23,-17,-14,-9,-23,-22,-18,-22,-14,-13,-14,-12,-9,-9,-10,-13,-11,-11,-12,-7,-15,-13,-14,-9,-15,-5,-9,-16,-9,-16,-12,-12,-30,-17,-4,-2,-11,-10,-21,-12,-9,-8,-18,-6,-15,-2,-19,-12,-17,-14,-18,-13,-8,-14,-13,-17,-9,-11,-15,-11,-13,-13,-19,-21,-14,-16,-10,-16,-14,-16,-21,-19,-17,-12,-14,-13,-12,-13
-24,-22,-13,-7,-22,-22,-17,-22,-16,-17,-18,-6,-16,-10,-13,-17,-12,-11,-13,-4,-14,-17,-18,-13,-18,-12,-14,-19,-7,-18,-13,-17,-30,-19,-2,-10,-10,-12,-22,-13,-11,-12,-18,-3,-15,-6,-20,-14,-20,-13,-20,-15,-15,-13,-11,-20,-11,-10,-15,-17,-15,-15,-21,-26,-15,-20,-13,-16,-18,-18,-22,-20,-22,-17,-19,-22,-17,-18
-19,-15,-11,-2,-19,-18,-13,-17,-11,-14,-10,6,-8,-2,-10,-10,-7,-1,-4,-1,-8,-11,-12,-10,-11,-5,-8,-14,-1,-10,-10,-9,-22,-12,0,-2,-8,-11,-15,-7,-5,-7,-11,-1,-11,2,-19,-10,-14,-9,-10,-13,-9,-8,-8,-10,-10,-5,-10,-6,-12,-11,-16,-14,-8,-12,-9,-9,-12,-11,-13,-15,-14,-10,-11,-12,-10,-11
-19,-18,-12,-5,-16,-18,-15,-18,-11,-13,-12,7,-7,2,-5,-13,-9,-2,-2,-1,-8,-11,-12,-7,-11,-4,-8,-15,0,-10,-10,-9,-28,-14,-1,-2,-8,-6,-16,-9,-6,-8,-11,1,-13,1,-23,-13,-14,-13,-12,-9,-3,-11,-6,-12,-7,-5,-13,-5,-12,-11,-15,-16,-11,-15,-11,-10,-11,-14,-14,-18,-16,-12,-15,-11,-13,-13
-21,-17,-11,-7,-20,-21,-16,-21,-12,-12,-11,3,-9,-2,-10,-13,-9,-4,-7,-2,-10,-13,-15,-13,-13,-4,-11,-16,-1,-13,-10,-10,-27,-14,-1,-7,-12,-10,-18,-8,-5,-7,-15,-1,-15,1,-20,-12,-17,-11,-14,-11,-8,-14,-9,-14,-10,-9,-13,-9,-14,-13,-18,-19,-12,-14,-14,-13,-14,-16,-16,-20,-15,-13,-16,-12,-13,-11
-16,-16,-11,-3,-18,-18,-13,-20,-12,-11,-9,5,-7,2,-7,-8,-8,-2,-4,-1,-9,-12,-13,-7,-10,-3,-12,-16,0,-10,-9,-8,-25,-12,-2,-5,-8,-5,-16,-9,-7,-7,-11,0,-14,6,-19,-10,-15,-13,-11,-11,-4,-9,-6,-13,-8,-4,-11,-3,-11,-10,-16,-14,-8,-12,-10,-10,-11,-13,-14,-18,-13,-13,-12,-10,-13,-9
-16,-13,-8,2,-16,-14,-11,-15,-8,-10,-10,6,-8,3,-8,-6,-7,0,-2,-2,-7,-9,-11,-2,-9,-3,-5,-12,2,-10,-10,-6,-20,-11,1,-1,-7,-9,-15,-5,-7,-6,-9,0,-12,2,-16,-10,-11,-9,-12,-8,-9,-7,-2,-9,-7,-4,-10,-6,-8,-9,-13,-14,-10,-13,-8,-9,-10,-12,-13,-14,-12,-10,-9,-11,-11,-8
-17,-18,-12,-2,-16,-18,-14,-19,-11,-11,-13,10,-8,3,-10,-12,-7,0,-4,2,-6,-12,-10,-9,-12,-4,-5,-15,7,-12,-12,-9,-26,-16,4,-1,-10,-9,-20,-6,-8,-6,-12,8,-14,4,-16,-12,-15,-13,-14,-8,-5,-8,-4,-15,-9,-9,-14,-10,-12,-11,-17,-20,-14,-16,-9,-11,-11,-14,-17,-18,-15,-13,-14,-12,-12,-12
-19,-20,-10,-1,-18,-19,-17,-19,-14,-11,-15,12,-12,2,-14,-14,-7,-3,-5,3,-9,-16,-12,-9,-15,-9,-6,-18,3,-15,-11,-10,-25,-17,3,-11,-10,-12,-21,-9,-6,-6,-12,10,-14,5,-16,-12,-17,-13,-18,-10,-8,-9,-3,-18,-13,-8,-14,-15,-14,-13,-20,-24,-16,-18,-8,-13,-14,-16,-17,-20,-19,-14,-17,-18,-15,-15
-19,-17,-11,-2,-15,-20,-13,-19,-9,-13,-10,14,-9,2,-8,-11,-8,2,-1,0,-5,-10,-13,-10,-10,-4,-9,-15,8,-9,-12,-10,-24,-17,1,-2,-7,-10,-17,-5,-6,-8,-11,1,-14,5,-20,-11,-15,-10,-11,-9,-7,-9,-3,-12,-7,-6,-11,-8,-13,-9,-15,-14,-8,-15,-11,-6,-10,-15,-14,-15,-15,-12,-14,-11,-11,-11
-17,-17,-9,-3,-19,-17,-14,-16,-10,-11,-10,12,-8,3,-9,-9,-4,0,-3,1,-9,-11,-11,-6,-12,-5,-8,-13,0,-11,-8,-8,-23,-14,1,-2,-11,-9,-16,-4,-6,-6,-7,4,-12,2,-19,-9,-14,-9,-13,-14,-5,-8,-7,-11,-10,-7,-11,-5,-9,-9,-16,-14,-13,-14,-9,-11,-13,-13,-15,-17,-13,-11,-12,-10,-11,-9
-20,-17,-18,-7,-19,-20,-16,-20,-11,-14,-10,8,-7,0,-8,-13,-8,-1,-4,-4,-9,-12,-12,-13,-13,-3,-8,-16,2,-12,-11,-10,-25,-17,-2,-7,-10,-11,-18,-8,-7,-8,-13,0,-15,2,-22,-12,-17,-10,-14,-13,-8,-12,-8,-12,-12,-6,-13,-5,-16,-12,-18,-17,-13,-15,-12,-10,-15,-14,-18,-19,-15,-12,-15,-11,-12,-12
-15,-13,-15,-3,-15,-15,-11,-17,-8,-12,-9,10,-5,3,-9,-9,-4,1,0,3,-6,-10,-11,-5,-9,-1,-8,-12,4,-9,-9,-8,-20,-15,2,-3,-6,-6,-14,-5,-5,-4,-9,2,-11,7,-19,-8,-13,-7,-11,-10,-3,-6,-4,-11,-10,-4,-8,-3,-9,-8,-15,-12,-10,-13,-7,-7,-10,-11,-14,-16,-11,-9,-9,-10,-9,-9
-17,-14,-14,-4,-16,-16,-11,-14,-6,-14,-13,9,-7,0,-10,-8,-5,1,0,0,-7,-9,-12,-7,-9,-6,-8,-12,3,-9,-9,-9,-18,-13,4,0,-6,-7,-15,-2,-8,-6,-8,4,-11,3,-16,-9,-11,-9,-13,-8,-8,-6,-2,-10,-9,-1,-10,-4,-10,-7,-14,-13,-8,-13,-8,-7,-10,-13,-15,-14,-13,-10,-10,-10,-10,-9
-20,-20,-21,-6,-15,-23,-17,-21,-13,-18,-16,12,-8,2,-10,-13,-9,1,-2,-1,-6,-11,-14,-11,-12,-5,-10,-16,9,-11,-13,-13,-27,-19,4,-2,-6,-10,-22,-6,-9,-7,-14,4,-16,4,-21,-14,-16,-14,-15,-7,-9,-12,-5,-17,-9,-7,-17,-10,-17,-12,-18,-21,-15,-18,-11,-10,-12,-17,-20,-19,-18,-14,-16,-13,-13,-15
-23,-20,-14,-4,-25,-22,-23,-22,-17,-15,-17,15,-12,2,-14,-15,-7,-3,-8,8,-15,-17,-15,-12,-19,-12,-6,-22,4,-18,-11,-13,-23,-17,5,-15,-15,-10,-23,-8,-5,-5,-13,9,-17,4,-19,-12,-20,-14,-19,-16,-11,-11,-6,-18,-16,-12,-14,-14,-15,-14,-24,-23,-20,-21,-11,-16,-17,-17,-20,-25,-19,-15,-18,-19,-14,-16
-18,-14,-13,-4,-14,-18,-11,-16,-10,-13,-10,23,-9,7,-7,-9,-6,7,3,1,-6,-10,-11,-10,-9,-2,-5,-13,10,-7,-11,-9,-19,-13,4,-5,-6,-9,-16,0,-4,-8,-7,5,-12,6,-21,-9,-13,-7,-6,-8,-8,-7,-2,-10,-9,-4,-11,-4,-12,-8,-16,-12,-9,-14,-10,-6,-9,-12,-14,-14,-14,-12,-12,-12,-11,-10
-19,-17,-14,-1,-18,-16,-13,-17,-10,-12,-12,22,-7,8,-9,-10,-4,5,2,3,-8,-11,-11,-6,-11,-4,-7,-13,9,-9,-10,-7,-21,-14,3,-7,-8,-9,-18,-3,-4,-8,-4,8,-14,4,-21,-10,-13,-12,-11,-8,-5,-9,-4,-11,-10,-5,-12,-4,-10,-9,-15,-13,-10,-14,-11,-9,-9,-12,-14,-17,-14,-12,-13,-12,-12,-9
-20,-14,-19,-7,-16,-19,-14,-18,-11,-13,-12,18,-9,0,-8,-10,-6,3,0,-2,-6,-10,-13,-13,-11,-5,-10,-14,9,-9,-9,-12,-22,-13,1,-8,-7,-10,-17,-5,-3,-7,-9,3,-14,3,-19,-9,-14,-9,-12,-9,-7,-11,-5,-12,-11,-2,-11,-6,-14,-10,-16,-15,-11,-14,-11,-8,-12,-15,-16,-18,-15,-12,-14,-12,-12,-10
-16,-15,-16,-3,-15,-19,-12,-17,-8,-12,-9,19,-9,5,-8,-6,-3,7,3,4,-4,-8,-10,-6,-7,-3,-5,-13,10,-7,-5,-9,-18,-11,5,-6,-5,-6,-16,0,-4,-4,-9,3,-11,5,-18,-6,-13,-9,-8,-9,-6,-5,-2,-12,-9,-4,-9,-3,-9,-4,-14,-12,-7,-13,-7,-6,-8,-9,-13,-17,-13,-10,-10,-11,-9,-10
-21,-15,-16,-6,-18,-19,-16,-19,-12,-16,-17,7,-10,-1,-13,-11,-8,0,-4,-5,-10,-12,-16,-9,-14,-7,-9,-16,4,-12,-12,-12,-20,-16,-1,-8,-11,-11,-19,-6,-12,-10,-13,2,-17,-1,-18,-12,-16,-14,-15,-13,-9,-11,-4,-14,-13,-5,-14,-9,-13,-11,-18,-16,-11,-16,-13,-11,-14,-17,-17,-18,-16,-13,-14,-13,-13,-13
-28,-23,-20,-10,-27,-26,-23,-25,-21,-15,-16,11,-11,1,-14,-16,-11,-3,-11,-4,-16,-17,-15,-12,-19,-7,-10,-21,5,-16,-16,-13,-27,-19,0,-13,-15,-13,-25,-9,-14,-7,-19,3,-20,1,-24,-17,-22,-17,-17,-14,-10,-13,-8,-19,-17,-14,-18,-13,-16,-15,-24,-25,-19,-21,-14,-18,-18,-20,-20,-25,-18,-16,-18,-14,-15,-15
-26,-23,-18,-6,-21,-24,-22,-22,-21,-19,-20,13,-15,-1,-17,-19,-11,-5,-7,4,-13,-18,-19,-14,-19,-12,-11,-21,6,-17,-14,-16,-27,-19,4,-15,-13,-15,-25,-9,-9,-10,-18,5,-21,2,-21,-15,-21,-16,-21,-14,-13,-13,-8,-20,-14,-10,-17,-16,-17,-13,-25,-23,-20,-23,-15,-15,-19,-21,-21,-24,-22,-17,-20,-20,-16,-18
-24,-18,-17,-6,-21,-22,-17,-22,-14,-19,-16,23,-13,2,-13,-14,-11,4,-4,-5,-10,-15,-16,-16,-15,-9,-11,-18,16,-12,-15,-15,-23,-17,-2,-14,-12,-15,-21,-4,-8,-12,-13,-2,-18,-1,-24,-16,-18,-13,-10,-16,-12,-12,-4,-14,-14,-11,-16,-7,-16,-12,-20,-17,-11,-18,-16,-11,-15,-16,-18,-19,-19,-16,-16,-15,-16,-16
-18,-18,-11,-2,-18,-18,-13,-17,-11,-13,-10,22,-8,9,-7,-8,-6,5,1,2,-8,-12,-11,-5,-11,-7,-8,-14,12,-10,-10,-9,-18,-11,4,-5,-8,-9,-16,-1,-4,-7,-7,8,-14,5,-19,-9,-14,-8,-11,-10,-6,-8,-4,-12,-9,-7,-11,-5,-9,-8,-18,-14,-12,-14,-12,-9,-11,-11,-12,-17,-14,-11,-11,-11,-11,-9
-19,-16,-9,-3,-16,-20,-14,-18,-11,-12,-11,22,-7,7,-7,-11,-5,5,2,1,-6,-11,-11,-12,-11,-7,-8,-14,13,-9,-10,-9,-18,-12,3,-5,-9,-8,-17,-2,-5,-5,-10,7,-15,4,-19,-10,-15,-8,-12,-9,-6,-8,-4,-12,-10,-5,-12,-5,-11,-9,-17,-15,-10,-14,-12,-9,-13,-12,-14,-16,-14,-11,-11,-11,-10,-12
-12,-11,-4,1,-11,-13,-10,-14,-6,-9,-10,23,-7,9,-10,-6,-3,9,7,6,-1,-8,-7,-5,-8,-5,-5,-12,16,-6,-6,-5,-10,-7,7,7,-5,-4,-13,2,-4,-4,-5,7,-9,8,-15,-7,-11,-5,-8,-11,-4,-4,0,-14,-9,0,-8,-3,-6,-3,-15,-10,-6,-13,-6,-4,-7,-7,-11,-13,-10,-10,-4,-8,-7,-9
-17,-15,-21,0,-10,-18,-15,-15,-9,-13,-16,18,-9,6,-14,-11,-6,5,4,4,-4,-11,-10,-10,-9,-8,-6,-14,11,-8,-10,-10,-21,-10,5,-11,-9,-13,-19,1,-6,-6,-8,11,-13,3,-19,-12,-13,-11,-13,-13,-6,-8,2,-13,-11,0,-12,-9,-13,-5,-18,-16,-11,-15,-9,-7,-10,-14,-16,-18,-18,-12,-15,-12,-15,-11
-20,-21,-25,-2,-13,-22,-18,-21,-14,-16,-19,18,-11,6,-15,-15,-7,3,1,1,-6,-13,-11,-12,-14,-9,-7,-18,14,-10,-13,-12,-23,-15,8,-7,-10,-15,-24,-3,-9,-5,-11,10,-16,4,-22,-14,-17,-14,-14,-14,-9,-11,-1,-18,-15,-7,-16,-12,-16,-10,-21,-22,-17,-19,-12,-10,-12,-17,-18,-21,-20,-16,-18,-14,-17,-16
-19,-20,-19,0,-18,-22,-21,-22,-16,-15,-19,20,-14,4,-16,-16,-10,-1,-2,8,-10,-17,-14,-14,-17,-16,-7,-20,12,-15,-11,-14,-21,-15,6,-15,-9,-16,-26,-5,-5,-8,-14,10,-16,4,-21,-15,-21,-13,-19,-20,-14,-11,-3,-20,-16,-7,-16,-12,-16,-11,-25,-25,-17,-20,-10,-13,-17,-18,-16,-23,-21,-16,-19,-17,-17,-18
-17,-17,-17,-1,-16,-20,-16,-18,-9,-13,-13,28,-10,8,-13,-12,-8,7,5,3,-6,-12,-10,-12,-11,-9,-6,-16,19,-8,-12,-11,-17,-14,4,-9,-11,-13,-17,0,-5,-9,-9,8,-13,6,-24,-12,-15,-10,-8,-14,-8,-8,1,-12,-13,-6,-12,-9,-15,-9,-18,-16,-10,-18,-11,-7,-10,-13,-14,-17,-17,-14,-14,-12,-14,-14
-17,-21,-21,-7,-17,-20,-18,-18,-9,-14,-14,25,-13,4,-14,-13,-8,6,2,0,-7,-14,-11,-12,-12,-11,-9,-16,14,-10,-12,-13,-20,-13,3,-11,-10,-16,-20,0,-7,-10,-9,7,-14,1,-24,-14,-17,-11,-13,-17,-12,-10,-4,-15,-15,-7,-13,-11,-13,-9,-20,-18,-14,-19,-13,-9,-14,-15,-14,-19,-18,-15,-16,-16,-16,-14
-21,-19,-22,-8,-17,-22,-17,-16,-10,-15,-12,20,-10,0,-14,-16,-9,3,-1,-1,-8,-12,-13,-16,-13,-9,-9,-17,12,-8,-12,-15,-21,-15,2,-11,-11,-16,-20,0,-7,-6,-12,6,-16,2,-24,-15,-19,-16,-17,-17,-8,-12,-4,-18,-16,-6,-14,-11,-16,-9,-20,-17,-14,-17,-15,-9,-15,-16,-16,-20,-20,-15,-17,-15,-16,-16
-14,-15,-18,0,-13,-18,-13,-15,-7,-13,-10,22,-5,5,-10,-11,-5,8,6,7,-3,-9,-11,-10,-8,-6,-7,-16,21,-6,-9,-10,-15,-10,6,-8,-6,-14,-17,2,-4,-5,-7,9,-13,8,-20,-11,-16,-14,-8,-14,-4,-7,0,-16,-9,-4,-10,-8,-11,-5,-17,-12,-11,-13,-9,-5,-10,-11,-11,-17,-16,-13,-12,-11,-12,-11
-17,-17,-18,-2,-12,-20,-16,-15,-8,-15,-15,15,-11,5,-13,-14,-8,4,2,1,-7,-11,-11,-12,-10,-11,-8,-15,15,-9,-13,-12,-17,-14,2,-10,-9,-14,-20,-1,-9,-7,-10,7,-15,3,-20,-13,-16,-19,-13,-14,-10,-9,-1,-16,-11,-5,-13,-12,-13,-8,-18,-17,-13,-15,-11,-7,-13,-16,-16,-18,-18,-14,-14,-14,-15,-13
-19,-21,-24,-1,-13,-22,-18,-20,-14,-15,-16,20,-9,7,-17,-16,-7,4,5,4,-6,-12,-10,-16,-14,-11,-8,-18,19,-10,-14,-13,-21,-16,6,-9,-11,-20,-23,-2,-10,-6,-12,13,-17,5,-21,-16,-19,-20,-14,-16,-9,-12,-2,-19,-14,-9,-17,-14,-16,-10,-22,-22,-18,-19,-11,-11,-12,-16,-18,-22,-21,-17,-18,-15,-16,-17
-22,-23,-18,1,-15,-25,-22,-22,-16,-16,-19,19,-14,8,-16,-18,-11,3,3,5,-7,-16,-13,-14,-15,-17,-10,-20,23,-13,-14,-13,-22,-18,3,-19,-11,-20,-26,-5,-12,-10,-15,11,-19,2,-22,-17,-22,-20,-17,-19,-10,-15,0,-22,-13,-9,-16,-17,-18,-11,-24,-24,-20,-19,-10,-10,-16,-20,-20,-23,-21,-17,-21,-19,-18,-17
-18,-19,-19,-4,-13,-23,-14,-17,-10,-15,-12,28,-10,8,-15,-14,-8,8,7,2,-2,-10,-11,-14,-9,-8,-6,-16,27,-7,-12,-13,-16,-15,4,-10,-11,-21,-19,1,-7,-7,-10,10,-14,4,-22,-14,-16,-16,-11,-13,-9,-10,1,-17,-11,-7,-12,-11,-14,-6,-17,-14,-11,-14,-14,-3,-11,-14,-14,-16,-18,-16,-16,-14,-15,-16
-15,-20,-16,-4,-16,-19,-15,-16,-9,-13,-10,25,-12,9,-11,-13,-6,6,5,4,-6,-12,-10,-9,-10,-14,-8,-15,18,-9,-11,-12,-17,-14,3,-10,-12,-19,-19,0,-7,-7,-6,11,-14,0,-22,-12,-15,-16,-13,-15,-7,-9,-2,-16,-12,-5,-12,-10,-10,-7,-18,-15,-14,-14,-11,-7,-11,-14,-12,-19,-17,-14,-16,-15,-14,-12
-17,-19,-18,-2,-16,-22,-17,-16,-13,-12,-13,21,-11,8,-14,-11,-5,5,3,-1,-4,-11,-13,-15,-12,-9,-10,-18,19,-9,-12,-10,-20,-13,4,-14,-12,-19,-21,-2,-6,-4,-11,9,-15,3,-20,-12,-18,-13,-13,-15,-7,-11,-2,-11,-13,-4,-11,-9,-13,-7,-20,-18,-13,-17,-14,-8,-12,-14,-14,-19,-17,-12,-16,-14,-14,-13
-16,-19,-14,3,-16,-19,-16,-20,-12,-12,-9,23,-10,11,-12,-9,-4,5,3,4,-5,-12,-12,-7,-11,-11,-6,-17,22,-10,-9,-7,-18,-12,4,-12,-11,-16,-21,0,-5,-4,-9,7,-17,4,-20,-10,-15,-18,-8,-16,-13,-6,-2,-13,-15,-7,-8,-9,-8,-5,-21,-16,-12,-12,-12,-8,-12,-13,-13,-20,-13,-12,-12,-13,-13,-9